City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
357,Colomi,-17.35,-65.8667,51.35,86,95,5.5,BO,2021-12-14 02:09:10
358,Shache,38.4167,77.2406,22.73,55,100,0.94,CN,2021-12-14 02:09:10
359,Inhambane,-23.865,35.3833,76.73,92,100,4.29,MZ,2021-12-14 02:09:10
360,Zhuhai,22.2769,113.5678,69.98,68,40,12.66,CN,2021-12-14 02:05:04
361,Ritchie,-29.038,24.6028,64.29,72,22,4.36,ZA,2021-12-14 02:09:11
362,Kortkeros,61.8106,51.5806,17.6,92,100,10.31,RU,2021-12-14 02:09:11
363,Ostrovnoy,68.0531,39.5131,21.13,94,100,6.6,RU,2021-12-14 02:06:46
364,Caldas Novas,-17.7417,-48.625,70.3,96,100,4.32,BR,2021-12-14 02:09:12
365,Marsh Harbour,26.5412,-77.0636,76.08,72,0,15.37,BS,2021-12-14 02:09:13
366,Husavik,66.0449,-17.3389,29.14,78,100,10.96,IS,2021-12-14 02:09:13
367,Ambon,-3.6954,128.1814,87.94,70,20,5.75,ID,2021-12-14 02:09:14
368,Iracoubo,5.4802,-53.2011,78.55,84,100,10.42,GF,2021-12-14 02:04:10
369,Port Said,31.2565,32.2841,67.5,66,100,10.2,EG,2021-12-14 02:09:15
370,Gornopravdinsk,60.05,69.9,7.74,96,100,5.61,RU,2021-12-14 02:10:15
371,Stokmarknes,68.5646,14.9108,34.92,90,100,12.48,NO,2021-12-14 02:10:15
372,Barra Do Corda,-5.5,-45.25,79.7,75,100,1.86,BR,2021-12-14 02:10:16
373,Shanghai,31.2222,121.4581,49.93,66,90,1.01,CN,2021-12-14 02:10:16
374,Katobu,-4.9408,122.5276,87.42,64,49,3.89,ID,2021-12-14 02:10:16
375,Lakes Entrance,-37.8811,147.981,73.17,65,85,10.11,AU,2021-12-14 02:10:17
376,Omsukchan,62.5333,155.8,-10.57,97,100,6.46,RU,2021-12-14 02:10:17
377,Bonavista,48.6499,-53.1147,40.12,81,73,22.41,CA,2021-12-14 02:09:03
378,Majene,-3.5403,118.9707,85.69,64,24,3.11,ID,2021-12-14 02:07:18
379,Prince Rupert,54.3161,-130.3201,26.83,70,35,8.37,CA,2021-12-14 02:05:28
380,San Juan,-31.5375,-68.5364,74.5,38,90,3.49,AR,2021-12-14 02:09:31
381,Atar,20.5169,-13.0499,68.72,16,14,8.37,MR,2021-12-14 02:04:18
382,Honiara,-9.4333,159.95,82.27,84,100,5.46,SB,2021-12-14 02:03:01
383,Yeniseysk,58.4497,92.1703,-12.01,100,99,2.3,RU,2021-12-14 02:10:18
384,Kapuskasing,49.4169,-82.4331,18.12,88,100,7.43,CA,2021-12-14 02:06:06
385,Belaya Gora,68.5333,146.4167,-21.95,98,100,1.92,RU,2021-12-14 02:10:18
386,Yebaishou,41.3975,119.6408,29.16,23,29,4.0,CN,2021-12-14 02:10:19
387,Lisakovsk,52.5369,62.4936,9.18,82,89,6.6,KZ,2021-12-14 02:10:19
388,Pachino,36.7186,15.0907,50.59,63,1,6.2,IT,2021-12-14 02:10:19
389,Ballina,-28.8667,153.5667,80.78,57,3,14.27,AU,2021-12-14 02:08:56
390,Grand-Santi,4.25,-54.3833,73.51,100,100,2.55,GF,2021-12-14 02:06:49
391,Goleta,36.8181,10.305,48.2,81,20,8.05,TN,2021-12-14 02:10:20
392,Changji,44.0167,87.3167,21.99,79,75,2.24,CN,2021-12-14 02:10:20
393,Santa Barbara,34.7333,-120.0343,49.33,94,90,17.27,US,2021-12-14 02:10:21
394,Taltal,-25.4,-70.4833,64.69,75,0,4.45,CL,2021-12-14 02:10:20
395,Inta,66.0317,60.1659,13.78,93,100,8.77,RU,2021-12-14 02:10:21
396,Krasnoselkup,65.7,82.4667,-33.7,93,14,7.76,RU,2021-12-14 02:09:06
397,Southbridge,42.0751,-72.0334,46.08,48,0,5.99,US,2021-12-14 02:10:22
398,Salamiyah,35.0113,37.0532,58.1,38,100,8.08,SY,2021-12-14 02:10:22
399,Takaka,-40.85,172.8,60.57,97,100,6.85,NZ,2021-12-14 02:10:22
400,Chernyshkovskiy,48.4219,42.2308,32.49,95,100,15.43,RU,2021-12-14 02:10:23
401,Gonaives,19.45,-72.6833,76.03,82,5,11.45,HT,2021-12-14 02:10:23
402,Akureyri,65.6835,-18.0878,27.81,84,97,5.59,IS,2021-12-14 02:08:01
403,Ahipara,-35.1667,173.1667,64.26,93,100,15.61,NZ,2021-12-14 02:10:23
404,Bara,10.3744,10.7288,68.67,21,96,7.49,NG,2021-12-14 02:10:24
405,Chuka,-0.3332,37.6459,58.24,96,72,3.31,KE,2021-12-14 02:10:24
406,Port Pirie,-33.1833,138.0167,73.49,41,91,9.24,AU,2021-12-14 02:10:24
407,Flin Flon,54.7682,-101.865,0.59,99,13,4.72,CA,2021-12-14 02:10:25
408,College,64.8569,-147.8028,-20.54,72,20,0.0,US,2021-12-14 02:09:04
409,Ekhabi,53.5102,142.9671,15.13,76,100,22.66,RU,2021-12-14 02:06:48
410,Lobbes,50.3529,4.2666,44.62,90,75,1.01,BE,2021-12-14 02:10:25
411,Petrovsk,52.3064,45.3917,19.92,76,100,11.27,RU,2021-12-14 02:10:26
412,Kuryk,43.2,51.65,29.8,77,8,17.58,KZ,2021-12-14 02:10:26
413,Takanosu,40.2219,140.3694,34.56,81,100,8.66,JP,2021-12-14 02:10:26
414,Mandali,33.7499,45.5541,57.56,22,75,4.29,IQ,2021-12-14 02:10:27
415,Anloga,5.7947,0.8973,80.89,83,84,9.4,GH,2021-12-14 02:11:27
416,Farmington,36.7281,-108.2187,42.78,57,1,6.91,US,2021-12-14 02:07:03
417,Samarai,-10.6167,150.6667,84.78,73,88,12.82,PG,2021-12-14 02:11:27
418,Chimbote,-9.0853,-78.5783,67.24,86,68,7.81,PE,2021-12-14 02:11:28
419,Klaksvik,62.2266,-6.589,45.52,79,100,26.55,FO,2021-12-14 02:09:14
420,Waipawa,-41.4122,175.5153,58.46,99,100,5.57,NZ,2021-12-14 02:11:28
421,Nguru,12.8791,10.4526,67.41,13,100,10.38,NG,2021-12-14 02:09:07
422,Portland,45.5234,-122.6762,42.78,92,90,4.0,US,2021-12-14 02:02:42
423,Bela,25.9333,81.9833,55.65,54,0,0.76,IN,2021-12-14 02:11:29
424,Santa Catarina De Tepehuanes,25.35,-105.7333,57.67,54,17,5.19,MX,2021-12-14 02:11:29
425,Suraabad,40.8192,49.4687,44.78,85,94,21.43,AZ,2021-12-14 02:11:29
426,Bonthe,7.5264,-12.505,79.43,82,100,5.37,SL,2021-12-14 02:11:30
